epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4784.23,1.55255,3.73072,1.7214,0.19805,0.426,0.16846,0.10825,1.30161,2.98599,1.47017,0.000100794,0.000100794,0.000100794
2,11923.4,1.46384,2.59745,1.65196,0.23772,0.5237,0.23787,0.15597,1.19027,2.52054,1.39174,0.000197799,0.000197799,0.000197799
3,22767.2,1.40453,2.31687,1.60776,0.25735,0.55693,0.25809,0.17099,1.17785,2.37907,1.34953,0.000290804,0.000290804,0.000290804
4,27433.3,1.3733,2.13849,1.56709,0.3071,0.59562,0.2949,0.19776,1.13174,2.21388,1.3377,0.000285002,0.000285002,0.000285002
5,40195.9,1.33694,1.99179,1.53855,0.3119,0.57632,0.29118,0.19323,1.12401,2.30736,1.33028,0.000279002,0.000279002,0.000279002
6,51713.6,1.30831,1.85891,1.5075,0.31481,0.66516,0.30934,0.21022,1.08353,2.11921,1.28674,0.000273003,0.000273003,0.000273003
7,83160,1.29,1.77211,1.48788,0.334,0.65734,0.31648,0.21554,1.06711,2.05545,1.27466,0.000267004,0.000267004,0.000267004
8,90174.2,1.26928,1.70248,1.47137,0.33589,0.65471,0.32628,0.22476,1.06041,2.14021,1.27146,0.000261004,0.000261004,0.000261004
